MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
8.232423,24.02488276,0.224882755,4.024882755,7.324882755,36.72488276,8.724882755,14.72488276,78.72488276,45.72488276,1016.224883,1012.824883,14.72488276,21.92488276
9.3241,26.45771654,0.257716536,4.257716536,8.257716536,33.25771654,8.257716536,14.25771654,78.25771654,47.25771654,1014.557717,1012.557717,15.85771654,23.85771654
7.32348,26.08292331,0.117076687,3.882923313,7.882923313,32.88292331,7.882923313,13.88292331,77.88292331,46.88292331,1014.182923,1012.182923,15.48292331,23.48292331
10.23423,21.68293152,0.117068478,4.382931522,7.382931522,37.88293152,10.88293152,16.88293152,84.88293152,49.88293152,1015.982932,1013.282932,13.78293152,20.78293152
11.34242,21.93952065,0.139520646,4.639520646,7.639520646,38.13952065,11.13952065,17.13952065,85.13952065,50.13952065,1016.239521,1013.539521,14.03952065,21.03952065
9.324345,22.30525764,0.505257642,5.005257642,8.005257642,38.50525764,11.50525764,17.50525764,85.50525764,50.50525764,1016.605258,1013.905258,14.40525764,21.40525764
10.23423,23.53991591,0.039915906,3.939915906,8.339915906,36.03991591,12.03991591,19.03991591,77.03991591,49.03991591,1015.039916,1012.739916,14.83991591,21.43991591
10.02488276,23.42024175,0.079758251,3.820241749,8.220241749,35.92024175,11.92024175,18.92024175,76.92024175,48.92024175,1014.920242,1012.620242,14.72024175,21.32024175
11.45771654,24.23118906,0.73118906,4.63118906,9.03118906,36.73118906,12.73118906,19.73118906,77.73118906,49.73118906,1015.731189,1013.431189,15.53118906,22.13118906
11.08292331,26.96935748,0.769357484,4.769357484,8.769357484,33.76935748,8.769357484,14.76935748,78.76935748,47.76935748,1015.069357,1013.069357,16.36935748,24.36935748
7.682931522,25.01111091,3.511110913,4.211110913,6.911110913,42.01111091,10.01111091,16.01111091,70.01111091,42.01111091,1015.711111,1011.811111,16.01111091,24.01111091
7.939520646,24.08610354,0.286103543,4.086103543,7.386103543,36.78610354,8.786103543,14.78610354,78.78610354,45.78610354,1016.286104,1012.886104,14.78610354,21.98610354
8.305257642,24.17447802,1.074478016,3.674478016,8.074478016,39.87447802,6.874478016,17.87447802,74.87447802,47.87447802,1014.674478,1012.774478,15.07447802,22.67447802
9.539915906,23.41806644,0.081933558,3.818066442,8.218066442,35.91806644,11.91806644,18.91806644,76.91806644,48.91806644,1014.918066,1012.618066,14.71806644,21.31806644
9.420241749,21.8712323,0.071232301,4.571232301,7.571232301,38.0712323,11.0712323,17.0712323,85.0712323,50.0712323,1016.171232,1013.471232,13.9712323,20.9712323
10.23118906,22.48267391,0.017326092,4.082673908,7.782673908,34.98267391,8.982673908,14.98267391,79.98267391,44.98267391,1015.182674,1012.482674,14.48267391,21.48267391
11.96935748,22.00850555,0.208505555,4.708505555,7.708505555,38.20850555,11.20850555,17.20850555,85.20850555,50.20850555,1016.308506,1013.608506,14.10850555,21.10850555
10.01111091,22.91623093,0.416230929,4.516230929,8.216230929,35.41623093,9.416230929,15.41623093,80.41623093,45.41623093,1015.616231,1012.916231,14.91623093,21.91623093
10.08610354,23.28664019,0.513359808,3.286640192,6.586640192,35.98664019,7.986640192,13.98664019,77.98664019,44.98664019,1015.48664,1012.08664,13.98664019,21.18664019
8.974478016,24.85971181,1.759711806,4.359711806,8.759711806,40.55971181,7.559711806,18.55971181,75.55971181,48.55971181,1015.359712,1013.459712,15.75971181,23.35971181
9.418066442,25.82546174,0.374538262,3.625461738,7.625461738,32.62546174,7.625461738,13.62546174,77.62546174,46.62546174,1013.925462,1011.925462,15.22546174,23.22546174
7.871232301,24.610809,3.110808996,3.810808996,6.510808996,41.610809,9.610808996,15.610809,69.610809,41.610809,1015.310809,1011.410809,15.610809,23.610809
8.182673908,24.8651141,1.065114097,4.865114097,8.165114097,37.5651141,9.565114097,15.5651141,79.5651141,46.5651141,1017.065114,1013.665114,15.5651141,22.7651141
8.008505555,21.98655946,0.186559457,4.686559457,7.686559457,38.18655946,11.18655946,17.18655946,85.18655946,50.18655946,1016.286559,1013.586559,14.08655946,21.08655946
8.616230929,22.90342089,0.596579115,3.303420885,7.703420885,35.40342089,11.40342089,18.40342089,76.40342089,48.40342089,1014.403421,1012.103421,14.20342089,20.80342089
9.286640192,24.79547405,3.295474049,3.995474049,6.695474049,41.79547405,9.795474049,15.79547405,69.79547405,41.79547405,1015.495474,1011.595474,15.79547405,23.79547405
9.659711806,23.61103035,0.511030348,3.111030348,7.511030348,39.31103035,6.311030348,17.31103035,74.31103035,47.31103035,1014.11103,1012.21103,14.51103035,22.11103035
10.82546174,24.82344167,3.323441674,4.023441674,6.723441674,41.82344167,9.823441674,15.82344167,69.82344167,41.82344167,1015.523442,1011.623442,15.82344167,23.82344167
9.610808996,22.41083288,1.089167123,2.810832877,7.210832877,34.91083288,10.91083288,17.91083288,75.91083288,47.91083288,1013.910833,1011.610833,13.71083288,20.31083288
10.8651141,24.4780518,2.978051796,3.678051796,6.378051796,41.4780518,9.478051796,15.4780518,69.4780518,41.4780518,1015.178052,1011.278052,15.4780518,23.4780518
7.986559457,23.04640671,0.45359329,3.44640671,7.84640671,35.54640671,11.54640671,18.54640671,76.54640671,48.54640671,1014.546407,1012.246407,14.34640671,20.94640671
8.903420885,24.09431286,0.594312863,4.494312863,8.894312863,36.59431286,12.59431286,19.59431286,77.59431286,49.59431286,1015.594313,1013.294313,15.39431286,21.99431286
9.795474049,24.58223212,0.782232119,4.582232119,7.882232119,37.28223212,9.282232119,15.28223212,79.28223212,46.28223212,1016.782232,1013.382232,15.28223212,22.48223212
8.411030348,26.21275033,0.012750334,4.012750334,8.012750334,33.01275033,8.012750334,14.01275033,78.01275033,47.01275033,1014.31275,1012.31275,15.61275033,23.61275033
9.823441674,26.58685021,0.386850208,4.386850208,8.386850208,33.38685021,8.386850208,14.38685021,78.38685021,47.38685021,1014.68685,1012.68685,15.98685021,23.98685021
8.410832877,24.03092917,0.930929169,3.530929169,7.930929169,39.73092917,6.730929169,17.73092917,74.73092917,47.73092917,1014.530929,1012.630929,14.93092917,22.53092917
9.478051796,22.67180914,0.171809145,4.271809145,7.971809145,35.17180914,9.171809145,15.17180914,80.17180914,45.17180914,1015.371809,1012.671809,14.67180914,21.67180914
9.04640671,21.61847992,0.881520078,3.218479922,6.918479922,34.11847992,8.118479922,14.11847992,79.11847992,44.11847992,1014.31848,1011.61848,13.61847992,20.61847992
10.09431286,26.4910614,0.291061397,4.291061397,8.291061397,33.2910614,8.291061397,14.2910614,78.2910614,47.2910614,1014.591061,1012.591061,15.8910614,23.8910614
10.58223212,22.24387423,0.44387423,4.94387423,7.94387423,38.44387423,11.44387423,17.44387423,85.44387423,50.44387423,1016.543874,1013.843874,14.34387423,21.34387423
11.21275033,21.38039124,0.419608762,4.080391238,7.080391238,37.58039124,10.58039124,16.58039124,84.58039124,49.58039124,1015.680391,1012.980391,13.48039124,20.48039124
11.58685021,24.14539381,0.345393812,4.145393812,7.445393812,36.84539381,8.845393812,14.84539381,78.84539381,45.84539381,1016.345394,1012.945394,14.84539381,22.04539381
8.830929169,21.74592336,0.754076645,3.345923355,7.045923355,34.24592336,8.245923355,14.24592336,79.24592336,44.24592336,1014.445923,1011.745923,13.74592336,20.74592336
8.371809145,24.84982349,1.049823488,4.849823488,8.149823488,37.54982349,9.549823488,15.54982349,79.54982349,46.54982349,1017.049823,1013.649823,15.54982349,22.74982349
7.318479922,24.90608617,1.106086171,4.906086171,8.206086171,37.60608617,9.606086171,15.60608617,79.60608617,46.60608617,1017.106086,1013.706086,15.60608617,22.80608617
11.4910614,25.6167484,4.116748402,4.816748402,7.516748402,42.6167484,10.6167484,16.6167484,70.6167484,42.6167484,1016.316748,1012.416748,16.6167484,24.6167484
8.24387423,23.46399494,0.036005061,3.863994939,8.263994939,35.96399494,11.96399494,18.96399494,76.96399494,48.96399494,1014.963995,1012.663995,14.76399494,21.36399494
7.380391238,26.70176645,0.501766449,4.501766449,8.501766449,33.50176645,8.501766449,14.50176645,78.50176645,47.50176645,1014.801766,1012.801766,16.10176645,24.10176645
10.14539381,24.78648177,0.986481767,4.786481767,8.086481767,37.48648177,9.486481767,15.48648177,79.48648177,46.48648177,1016.986482,1013.586482,15.48648177,22.68648177
7.445923355,24.69779773,1.597797732,4.197797732,8.597797732,40.39779773,7.397797732,18.39779773,75.39779773,48.39779773,1015.197798,1013.297798,15.59779773,23.19779773
10.84982349,24.28208698,0.48208698,4.28208698,7.58208698,36.98208698,8.98208698,14.98208698,78.98208698,45.98208698,1016.482087,1013.082087,14.98208698,22.18208698
10.90608617,23.28232183,0.782321828,4.882321828,8.582321828,35.78232183,9.782321828,15.78232183,80.78232183,45.78232183,1015.982322,1013.282322,15.28232183,22.28232183
10.6167484,24.1006808,0.300680805,4.100680805,7.400680805,36.8006808,8.800680805,14.8006808,78.8006808,45.8006808,1016.300681,1012.900681,14.8006808,22.0006808
9.463994939,26.16956796,0.030432044,3.969567956,7.969567956,32.96956796,7.969567956,13.96956796,77.96956796,46.96956796,1014.269568,1012.269568,15.56956796,23.56956796
11.70176645,21.84352353,0.043523534,4.543523534,7.543523534,38.04352353,11.04352353,17.04352353,85.04352353,50.04352353,1016.143524,1013.443524,13.94352353,20.94352353
10.78648177,24.85049632,3.350496325,4.050496325,6.750496325,41.85049632,9.850496325,15.85049632,69.85049632,41.85049632,1015.550496,1011.650496,15.85049632,23.85049632
9.497797732,26.65176625,0.451766245,4.451766245,8.451766245,33.45176625,8.451766245,14.45176625,78.45176625,47.45176625,1014.751766,1012.751766,16.05176625,24.05176625
10.28208698,24.30950017,0.509500166,4.309500166,7.609500166,37.00950017,9.009500166,15.00950017,79.00950017,46.00950017,1016.5095,1013.1095,15.00950017,22.20950017
8.982321828,25.03894702,1.238947022,5.038947022,8.338947022,37.73894702,9.738947022,15.73894702,79.73894702,46.73894702,1017.238947,1013.838947,15.73894702,22.93894702
10.1006808,24.74086489,3.240864891,3.940864891,6.640864891,41.74086489,9.740864891,15.74086489,69.74086489,41.74086489,1015.440865,1011.540865,15.74086489,23.74086489
11.16956796,26.09391929,0.106080711,3.893919289,7.893919289,32.89391929,7.893919289,13.89391929,77.89391929,46.89391929,1014.193919,1012.193919,15.49391929,23.49391929
7.843523534,23.2865656,0.213434397,3.686565603,8.086565603,35.7865656,11.7865656,18.7865656,76.7865656,48.7865656,1014.786566,1012.486566,14.5865656,21.1865656
9.850496325,25.45770106,3.957701059,4.657701059,7.357701059,42.45770106,10.45770106,16.45770106,70.45770106,42.45770106,1016.157701,1012.257701,16.45770106,24.45770106
11.65176625,25.16437555,3.664375555,4.364375555,7.064375555,42.16437555,10.16437555,16.16437555,70.16437555,42.16437555,1015.864376,1011.964376,16.16437555,24.16437555
10.30950017,25.68593107,4.185931067,4.885931067,7.585931067,42.68593107,10.68593107,16.68593107,70.68593107,42.68593107,1016.385931,1012.485931,16.68593107,24.68593107
11.03894702,25.08777665,3.587776647,4.287776647,6.987776647,42.08777665,10.08777665,16.08777665,70.08777665,42.08777665,1015.787777,1011.887777,16.08777665,24.08777665
9.740864891,22.14897345,0.351026547,3.748973453,7.448973453,34.64897345,8.648973453,14.64897345,79.64897345,44.64897345,1014.848973,1012.148973,14.14897345,21.14897345
11.09391929,22.33616893,0.163831073,3.936168927,7.636168927,34.83616893,8.836168927,14.83616893,79.83616893,44.83616893,1015.036169,1012.336169,14.33616893,21.33616893
